ids,Description,Price,borough
24347980,1 bedroom retirement property for sale,159950.0,"('Sutton', '5E93974')"
76484230,1 bedroom apartment for sale,770000.0,"('City of London', '5E61224')"
27988222,1 bedroom flat for sale,240000.0,"('Sutton', '5E93974')"
88017597,1 bedroom apartment for sale,825000.0,"('City of London', '5E61224')"
76920758,2 bedroom apartment for sale,1600000.0,"('City of London', '5E61224')"
85117397,1 bedroom apartment for sale,290000.0,
22673621,2 bedroom flat for sale,315000.0,"('Sutton', '5E93974')"
14619646,2 bedroom flat for sale,390000.0,"('Sutton', '5E93974')"
33210884,1 bedroom maisonette for sale,250000.0,"('Sutton', '5E93974')"
15890672,1 bedroom flat for sale,450000.0,"('City of London', '5E61224')"
18341897,2 bedroom apartment for sale,1475000.0,"('City of London', '5E61224')"
89617561,2 bedroom flat for sale,495000.0,"('Sutton', '5E93974')"
37491408,3 bedroom apartment for sale,1295000.0,
71399903,2 bedroom apartment for sale,845000.0,"('City of London', '5E61224')"
56964979,2 bedroom flat for sale,500000.0,
97444187,2 bedroom apartment for sale,700000.0,
27164245,3 bedroom semi-detached house for sale,625000.0,"('Sutton', '5E93974')"
25747306,3 bedroom detached house for sale,5000000.0,"('City of London', '5E61224')"
31842740,2 bedroom ground maisonette for sale,410000.0,"('Sutton', '5E93974')"
4944306,1 bedroom flat for sale,275000.0,"('Sutton', '5E93974')"
12653688,2 bedroom flat for sale,275000.0,"('Sutton', '5E93974')"
40486245,7 bedroom detached house for sale,3850000.0,"('Sutton', '5E93974')"
45219028,1 bedroom flat for sale,230000.0,"('Sutton', '5E93974')"
31374674,1 bedroom apartment for sale,250000.0,"('Sutton', '5E93974')"
62126852,3 bedroom detached house for sale,625000.0,"('Sutton', '5E93974')"
98454366,2 bedroom flat for sale,1000000.0,"('City of London', '5E61224')"
33034709,1 bedroom flat for sale,235000.0,
25704597,3 bedroom flat for sale,1800000.0,"('City of London', '5E61224')"
66531031,2 bedroom apartment for sale,340000.0,"('Sutton', '5E93974')"
99814447,1 bedroom retirement property for sale,100000.0,"('Sutton', '5E93974')"
11096134,1 bedroom flat for sale,190000.0,"('Sutton', '5E93974')"
82257065,2 bedroom flat for sale,365000.0,"('Sutton', '5E93974')"
54373345,3 bedroom maisonette for sale,275000.0,"('Sutton', '5E93974')"
67325553,1 bedroom flat for sale,285000.0,"('Sutton', '5E93974')"
98642602,2 bedroom apartment for sale,1375000.0,
78381466,2 bedroom maisonette for sale,330000.0,"('Sutton', '5E93974')"
89163801,3 bedroom semi-detached house for sale,550000.0,"('Sutton', '5E93974')"
84107498,1 bedroom flat for sale,270000.0,"('Sutton', '5E93974')"
86320455,3 bedroom ground floor flat for sale,325000.0,"('Sutton', '5E93974')"
16205563,2 bedroom flat for sale,475000.0,"('Sutton', '5E93974')"
34761108,2 bedroom apartment for sale,450000.0,"('Sutton', '5E93974')"
19732601,3 bedroom end of terrace house for sale,700000.0,"('Sutton', '5E93974')"
50510768,2 bedroom apartment for sale,745000.0,"('City of London', '5E61224')"
99829067,2 bedroom retirement property for sale,185000.0,"('Sutton', '5E93974')"
2802181,2 bedroom flat for sale,399950.0,"('Sutton', '5E93974')"
76285595,2 bedroom penthouse for sale,1350000.0,"('City of London', '5E61224')"
60049295,1 bedroom ground floor flat for sale,180000.0,"('Sutton', '5E93974')"
94149202,1 bedroom retirement property for sale,239950.0,"('Sutton', '5E93974')"
72858201,7 bedroom detached house for sale,1850000.0,"('Sutton', '5E93974')"
6130434,2 bedroom maisonette for sale,360000.0,"('Sutton', '5E93974')"
65123243,2 bedroom flat for sale,250000.0,"('Sutton', '5E93974')"
91417997,Ground floor studio flat for sale,110000.0,"('Sutton', '5E93974')"
12325478,4 bedroom maisonette for sale,350000.0,"('Sutton', '5E93974')"
38871774,2 bedroom apartment for sale,330000.0,"('Sutton', '5E93974')"
78940354,4 bedroom semi-detached house for sale,700000.0,"('Sutton', '5E93974')"
28924214,2 bedroom flat for sale,350000.0,"('Sutton', '5E93974')"
28245157,1 bedroom apartment for sale,590000.0,"('City of London', '5E61224')"
79294282,1 bedroom flat for sale,135000.0,"('Sutton', '5E93974')"
62950885,5 bedroom semi-detached house for sale,850000.0,"('Sutton', '5E93974')"
42030029,2 bedroom flat for sale,250000.0,"('Sutton', '5E93974')"
65010880,2 bedroom flat for sale,250000.0,"('Sutton', '5E93974')"
85357700,2 bedroom flat for sale,230000.0,"('Sutton', '5E93974')"
91108586,1 bedroom apartment for sale,275000.0,"('Sutton', '5E93974')"
91687426,2 bedroom flat for sale,165500.0,"('Sutton', '5E93974')"
12115590,1 bedroom flat for sale,289950.0,"('Sutton', '5E93974')"
27343041,3 bedroom apartment for sale,2899000.0,"('City of London', '5E61224')"
15329213,2 bedroom penthouse for sale,425000.0,"('Sutton', '5E93974')"
27423049,2 bedroom apartment for sale,275000.0,"('Sutton', '5E93974')"
11407265,1 bedroom apartment for sale,245000.0,"('Sutton', '5E93974')"
51616668,3 bedroom apartment for sale,1795000.0,"('City of London', '5E61224')"
29108248,2 bedroom flat for sale,300000.0,
86779781,1 bedroom flat for sale,130000.0,"('Sutton', '5E93974')"
22669416,Studio apartment for sale,600000.0,"('City of London', '5E61224')"
38964098,1 bedroom apartment for sale,275000.0,"('Sutton', '5E93974')"
95217801,3 bedroom detached house for sale,850000.0,"('Sutton', '5E93974')"
1853669,3 bedroom apartment for sale,480000.0,"('Sutton', '5E93974')"
27118749,1 bedroom flat for sale,619950.0,"('City of London', '5E61224')"
45863495,2 bedroom penthouse for sale,1400000.0,"('City of London', '5E61224')"
93347901,2 bedroom maisonette for sale,340000.0,"('Sutton', '5E93974')"
71184526,2 bedroom flat for sale,330000.0,"('Sutton', '5E93974')"
83889805,3 bedroom maisonette for sale,350000.0,"('Sutton', '5E93974')"
79842562,1 bedroom flat for sale,139995.0,"('Sutton', '5E93974')"
2913619,2 bedroom apartment for sale,300000.0,"('Sutton', '5E93974')"
78176934,1 bedroom apartment for sale,715000.0,"('City of London', '5E61224')"
69717583,3 bedroom flat for sale,1595000.0,"('City of London', '5E61224')"
43748481,3 bedroom apartment for sale,400000.0,"('Sutton', '5E93974')"
85499360,3 bedroom apartment for sale,4150000.0,"('City of London', '5E61224')"
58725520,3 bedroom apartment for sale,6655000.0,
87261936,1 bedroom apartment for sale,360000.0,"('Sutton', '5E93974')"
36041958,Studio flat for sale,385000.0,"('City of London', '5E61224')"
58155835,4 bedroom semi-detached house for sale,750000.0,"('Sutton', '5E93974')"
99074900,1 bedroom ground floor flat for sale,120000.0,"('Sutton', '5E93974')"
56167921,5 bedroom detached house for sale,1475000.0,"('Sutton', '5E93974')"
71593395,1 bedroom flat for sale,225000.0,"('Sutton', '5E93974')"
67480075,1 bedroom apartment for sale,280000.0,"('Sutton', '5E93974')"
76257034,2 bedroom apartment for sale,325000.0,"('Sutton', '5E93974')"
95365354,2 bedroom maisonette for sale,300000.0,"('Sutton', '5E93974')"
401779,2 bedroom flat for sale,350000.0,"('Sutton', '5E93974')"
62580254,1 bedroom maisonette for sale,280000.0,"('Sutton', '5E93974')"
98968141,3 bedroom semi-detached house for sale,550000.0,"('Sutton', '5E93974')"
82567517,1 bedroom apartment for sale,600000.0,
42484524,1 bedroom apartment for sale,240000.0,"('Sutton', '5E93974')"
60502818,1 bedroom apartment for sale,700000.0,"('City of London', '5E61224')"
93871463,1 bedroom flat for sale,170000.0,"('Sutton', '5E93974')"
92082376,1 bedroom flat for sale,135000.0,"('Sutton', '5E93974')"
50308185,1 bedroom apartment for sale,275000.0,"('Sutton', '5E93974')"
71905228,1 bedroom apartment for sale,314995.0,"('Sutton', '5E93974')"
43331428,5 bedroom flat for sale,4500000.0,"('City of London', '5E61224')"
20608832,3 bedroom apartment for sale,580000.0,"('Sutton', '5E93974')"
31980020,5 bedroom flat for sale,4500000.0,"('City of London', '5E61224')"
48686976,4 bedroom semi-detached house for sale,625000.0,"('Sutton', '5E93974')"
2357077,2 bedroom apartment for sale,230000.0,"('Sutton', '5E93974')"
49227528,1 bedroom apartment for sale,180000.0,"('Sutton', '5E93974')"
36767031,2 bedroom flat for sale,425000.0,"('Sutton', '5E93974')"
76167564,2 bedroom flat for sale,330000.0,"('Sutton', '5E93974')"
37174454,2 bedroom apartment for sale,350000.0,"('Sutton', '5E93974')"
52258925,3 bedroom terraced house for sale,425000.0,"('Sutton', '5E93974')"
94588391,2 bedroom apartment for sale,375000.0,"('Sutton', '5E93974')"
99008599,1 bedroom flat for sale,240000.0,"('Sutton', '5E93974')"
45029903,2 bedroom apartment for sale,350000.0,"('Sutton', '5E93974')"
71783669,1 bedroom flat for sale,115000.0,"('Sutton', '5E93974')"
