ids,Station_Prox,bedrooms_model,bathrooms_model,compass,borough_name,propertySubType,tenure.tenureType,tenure.yearsRemainingOnLease,address.outcode,address.incode,location.latitude,location.longitude,analyticsProperty.added,analyticsProperty.auctionOnly,analyticsProperty.minSizeFt,analyticsProperty.maxSizeFt,prices.pricePerSqFt,analyticsProperty.ownership,analyticsProperty.preOwned,analyticsProperty.priceQualifier,analyticsProperty.soldSTC,Price
118291559,0.2,3.0,2.0,HA,Brent,Semi-Detached,FREEHOLD,,HA9,7JP,51.552654,-0.30158,20220104,False,,,,Non-shared ownership,Resale,Guide Price,True,599000.0
124182719,1.0,3.0,1.0,NW,Brent,Terraced,FREEHOLD,,NW2,7UB,51.565685,-0.237704,20220622,False,,,,Non-shared ownership,Resale,None,False,599000.0
124092725,1.0,3.0,1.0,NW,Brent,Terraced,FREEHOLD,,NW2,7UB,51.565685,-0.237704,20220620,False,,,,Non-shared ownership,Resale,None,False,599000.0
124092500,0.8,3.0,1.0,NW,Brent,Terraced,FREEHOLD,,NW2,7SY,51.564932,-0.248796,20220620,False,,,,Non-shared ownership,Resale,None,False,599950.0
118641371,0.4,3.0,1.0,HA,Brent,Semi-Detached,FREEHOLD,,HA9,6DP,51.54851,-0.28158,20220112,False,,,,Non-shared ownership,Resale,None,True,599950.0
124092407,0.6,3.0,2.0,NW,Brent,Terraced,FREEHOLD,,NW10,0LU,51.561244,-0.256984,20220620,False,,,,Non-shared ownership,Resale,None,False,599950.0
108099962,0.4,2.0,1.0,NW,Brent,Apartment,SHARE_OF_FREEHOLD,,NW6,7UN,51.539666,-0.199469,20210603,False,,,,Non-shared ownership,Resale,None,False,599950.0
123596942,0.3,2.0,1.0,NW,Brent,Ground Flat,LEASEHOLD,,NW2,5RL,51.54612,-0.21792,20220523,False,928.0,928.0,£646.50 per sq. ft.,Non-shared ownership,Resale,None,False,599950.0
119592827,0.3,2.0,1.0,NW,Brent,Flat,SHARE_OF_FREEHOLD,,NW10,5JJ,51.533573,-0.231072,20220205,False,729.0,729.0,£822.98 per sq. ft.,Non-shared ownership,Resale,Guide Price,True,599950.0
118825370,0.2,2.0,1.0,NW,Brent,Flat,FREEHOLD,,NW10,5TH,51.533054,-0.223049,20220117,False,,,,Non-shared ownership,Resale,None,False,599950.0
106910132,0.5,3.0,1.0,NW,Brent,Terraced,FREEHOLD,,NW10,9SU,51.546905,-0.247909,20210514,False,985.0,985.0,£609.09 per sq. ft.,Non-shared ownership,Resale,Guide Price,True,599950.0
119685596,0.8,3.0,1.0,NW,Brent,Terraced,FREEHOLD,,NW9,0TN,51.585446,-0.259066,20220208,False,,,,Non-shared ownership,Resale,None,True,599950.0
119904545,0.1,2.0,1.0,NW,Brent,Apartment,SHARE_OF_FREEHOLD,,NW10,5SB,51.532478,-0.224291,20220212,False,,,,Non-shared ownership,Resale,None,False,599950.0
112540436,0.1,2.0,2.0,HA,Brent,Apartment,LEASEHOLD,,HA9,0LR,51.561671,-0.277045,20210827,False,,,,Non-shared ownership,New Home,None,False,599950.0
